name,nationality,rating,position1,position2,position3,age,team
Fabrizio Cacciatore,Italy,73,RB,LB,,31,Chievo Verona
Artem Kravets,Ukraine,73,ST,CAM,,29,Kayserispor
Frédéric Sammaritano,France,73,LM,LW,RM,32,Dijon FCO
Dmitriy Kombarov,Russia,73,LB,LWB,,31,Spartak Moscow
Jesús Dueñas,Mexico,73,CM,CDM,,29,Tigres
Alexander Büttner,Netherlands,73,LB,,,29,Vitesse
Matías Pérez García,Argentina,73,CAM,RM,,33,Tigre
Geoff Cameron,United States,73,CDM,CB,CM,33,Stoke City
Samuel Di CarmineL,Italy,73,ST,,,29,Hellas Verona
Khaled Adénon,Benin,73,CB,,,33,Amiens SC
Siem de Jong,Netherlands,73,CAM,CM,ST,29,Ajax
Maciej Rybus,Poland,73,LB,LM,,29,Lokomotiv Moscow
Kyle Bartley,England,73,CB,,,27,West Brom
Luke Ayling,England,73,RB,,,26,Leeds United
Matty James,England,73,CM,CDM,,27,Leicester City
Vegard Forren,Norway,73,CB,,,30,Molde FK
Deniz Kadah,Turkey,73,CAM,ST,,32,Göztepe
Sebastian Ribas,Uruguay,73,ST,,,30,Lanús
Dan Gosling,England,73,CM,,,28,Bournemouth
Nicolás Sánchez,Argentina,73,CB,,,32,Monterrey
Martin Olsson,Sweden,73,LB,LWB,,30,Swansea City
Alex Smithies,England,73,GK,,,28,Cardiff City
Luis Ardente,Argentina,73,GK,,,36,San Martín
Sergio Tejera,Spain,73,CDM,CM,,28,R. Oviedo
Kevin Wolze,Germany,73,LB,LM,,28,Duisburg
Orlando Sá,Portugal,73,ST,,,30,Standard Liège
Lamine KonéL,Ivory Coast,73,CB,,,29,RC Strasbourg
Teddy Chevalier,France,73,RM,ST,,31,KV Kortrijk
Alexander Grünwald,Austria,73,CAM,CM,,29,FK Austria Wien
Jesús Molina,Mexico,73,CDM,CM,CB,30,Monterrey
Nacer Barazite,Netherlands,73,CAM,ST,,28,Yeni Malatyaspor
Jonny Howson,England,73,CM,CDM,,30,Middlesbrough
Fabien Lemoine,France,73,CDM,CM,,31,FC Lorient
Henri Saivet,Senegal,73,CM,CAM,CDM,27,Newcastle Utd
Marcello Gazzola,Italy,73,RB,,,33,Parma
Diego Vera,Uruguay,73,ST,,,33,Tigre
Nikica Jelavić,Croatia,73,ST,,,32,Guizhou Hengfeng
Brian Sarmiento,Argentina,73,CAM,LM,ST,28,Newell's
Mahmut Tekdemir,Turkey,73,CDM,CB,,30,Başakşehir
Robbie Kruse,Australia,73,LM,RM,CF,29,Bochum
Mitchell Langerak,Australia,73,GK,,,29,Nagoya Grampus
Fedor Kudryashov,Russia,73,CB,LWB,,31,Free Agents
Mapou Yanga-M'Biwa,France,73,CB,,,29,OL
Mile Jedinák,Australia,73,CDM,CB,,34,Aston Villa
Danny Vukovic,Australia,73,GK,,,33,KRC Genk
Vassilis Torosidis,Greece,73,RB,LB,,33,Olympiacos CFP
Romain Genevois,Haiti,73,CB,,,30,SM Caen
Rasmus Bengtsson,Sweden,73,CB,,,32,Malmö FF
Jakob Johansson,Sweden,73,CM,CDM,,28,Stade Rennais
Tomáš Hořava,Czech Republic,73,CM,CDM,CAM,30,Viktoria Plzeň
Kengo Nakamura,Japan,73,CAM,CM,CDM,37,Kawasaki-F
Craig Cathcart,Northern Ireland,73,CB,RB,,29,Watford
David Braz,Brazil,73,CB,,,31,Sivasspor
Eren Derdiyok,Switzerland,73,ST,,,30,Galatasaray
Ragnar Sigurðsson,Iceland,73,CB,,,32,Free Agents
Marcel Heller,Germany,73,RM,LM,,32,Darmstadt
Dame N'Doye,Senegal,73,ST,,,33,FC København
Luis Robles,United States,73,GK,,,34,NY Red Bulls
Pablo Hernández,Spain,73,LM,CAM,RM,33,Leeds United
Mario Gavranović,Switzerland,73,ST,CAM,CF,28,Dinamo Zagreb
Rouwen Hennings,Germany,73,ST,,,30,Düsseldorf
Miguel Torres,Spain,73,CB,LB,RB,32,Málaga CF
Adrián González,Spain,73,CDM,CM,CAM,30,Málaga CF
Uğur Demirok,Turkey,73,CB,,,30,Konyaspor
Bracali,Brazil,73,GK,,,37,Boavista FC
Daniel Ciofani,Italy,73,ST,,,33,Frosinone
Abdou Razack Traoré,Burkina Faso,73,CAM,RM,LM,29,Konyaspor
Scott Arfield,Canada,73,LM,CM,,29,Rangers
Romain Danzé,France,73,RB,,,32,Stade Rennais
Sergio Sánchez,Spain,73,CB,RB,,32,RCD Espanyol
Kévin Monnet-Paquet,France,73,LM,RW,,30,ASSE
Tore Reginiussen,Norway,73,CB,,,32,Rosenborg BK
Per Karlsson,Sweden,73,CB,,,32,AIK
Adrián RamosL,Colombia,73,ST,,,32,Granada CF
Pablo Armero,Colombia,73,LB,LM,,31,América de Cali
Christian MarrugoL,Colombia,73,CAM,CM,LM,33,Millonarios
Jelle Vossen,Belgium,73,ST,,,29,Club Brugge
Hélder Barbosa,Portugal,73,LW,LM,CAM,31,Akhisarspor
Niko Bungert,Germany,73,CB,,,31,1. FSV Mainz 05
Sébastien Siani,Cameroon,73,CM,CDM,,31,Free Agents
Rhys Williams,Australia,73,CB,,,30,Al Qadisiyah
Federico Dionisi,Italy,73,ST,,,31,Frosinone
Lewis Grabban,England,73,ST,,,30,Nott'm Forest
Javi Varas,Spain,73,GK,,,35,Granada CF
Carlos Martínez,Spain,73,RB,,,32,R. Oviedo
Gabriel Peñalba,Argentina,73,CM,CDM,,33,UD Las Palmas
José María Basanta,Argentina,73,CB,,,34,Monterrey
Pablo Mouche,Argentina,73,ST,RM,,30,San Lorenzo
Markus Suttner,Austria,73,LB,LWB,,31,Brighton
Andreas Ulmer,Austria,73,LB,,,32,RB Salzburg
Tarik Elyounoussi,Norway,73,CF,ST,CAM,30,AIK
Danijel Milićević,Bosnia Herzegovina,73,CAM,CF,CM,32,KAS Eupen
Hugo Rodallega,Colombia,73,ST,,,33,Trabzonspor
Jérémy Sorbon,France,73,CB,,,35,EA Guingamp
Nicklas Bendtner,Denmark,73,ST,,,30,Rosenborg BK
Kirill Nababkin,Russia,73,LB,LM,RB,31,CSKA Moscow
Danilo SilvaL,Brazil,73,RB,CB,,31,LAFC
Molinero,Spain,73,LB,RB,,33,R. Sporting
Leonardo Ulloa,Argentina,73,ST,,,32,Pachuca
Nicolás Navarro,Argentina,73,GK,,,33,San Lorenzo
Claudiu Keşerü,Romania,73,ST,CF,LW,31,Free Agents
Olivier Veigneau,France,73,LB,,,33,Kasimpaşa
Joe Ledley,Wales,73,CDM,CM,,31,Derby County
Edinho,Portugal,73,ST,,,36,CD Feirense
Brad Guzan,United States,73,GK,,,33,Atlanta United
Julien Féret,France,73,CM,CAM,,36,AJ Auxerre
James Morrison,Scotland,73,CAM,CM,,32,West Brom
Fernando Amorebieta,Venezuela,73,CB,LB,,33,Independiente
Zapater,Spain,73,CDM,CM,,33,R. Zaragoza
Agirretxe,Spain,73,ST,LW,,31,Real Sociedad
Jérémy Ménez,France,73,ST,LW,CAM,31,América
Ben Watson,England,73,CDM,CM,,33,Nott'm Forest
Élton,Brazil,73,CAM,RW,LW,32,Al Qadisiyah
Oriol Riera,Spain,73,ST,,,32,WS Wanderers
Leonardo Pisculichi,Argentina,73,CAM,CM,,34,Argentinos Jrs.
Julio Barroso,Argentina,73,CB,,,33,CD Viñazur
Willem Janssen,Netherlands,73,CB,,,32,FC Utrecht
Ken Reichel,Germany,73,LB,LM,,31,Union Berlin
Scott Carson,England,73,GK,,,32,Derby County
Marco Russ,Germany,73,CB,CDM,,33,Frankfurt
Yoan Gouffran,France,73,LM,RM,,32,Göztepe
Joe Lewis,England,73,GK,,,30,Aberdeen
Aiden McGeady,Republic of Ireland,73,LM,RM,,32,Sunderland
Shin Hwa Yong,Korea Republic,73,GK,,,35,Suwon Samsung
Manuel Pasqual,Italy,73,LB,LM,,36,Empoli
Edgar Barreto,Paraguay,73,CM,CDM,,34,Sampdoria
Jason Puncheon,England,73,CM,LM,,32,Crystal Palace
Romain Salin,France,73,GK,,,34,Sporting CP
Jaroslav Drobný,Czech Republic,73,GK,,,38,Werder Bremen
Seoane,Spain,73,CDM,CM,,35,CD Lugo
Muhammet Demir,Turkey,73,ST,CAM,,26,Sivasspor
Yalçın Ayhan,Turkey,73,CB,,,36,MKE Ankaragücü
Luciano Pocrnjic,Argentina,73,GK,,,37,Aldosivi
Javier Gandolfi,Argentina,73,CB,,,37,Talleres
Jonás Gutiérrez,Argentina,73,CM,LM,RB,35,Defensa
Fabián Cubero,Argentina,73,CB,RB,,39,Vélez Sarsfield
Aitor Sanz,Spain,73,CDM,CM,CAM,33,CD Tenerife
Boštjan Cesar,Slovenia,73,CB,,,36,Chievo Verona
Stijn Schaars,Netherlands,73,CDM,CM,,34,SC Heerenveen
Michael Rensing,Germany,73,GK,,,34,Düsseldorf
Rod Fanni,France,73,CB,RB,,36,Impact Montréal
Riesgo,Spain,73,GK,,,34,SD Eibar
Cifuentes,Spain,73,GK,,,39,Cádiz CF
Eldin Jakupović,Switzerland,73,GK,,,33,Leicester City
Peter Crouch,England,73,ST,,,37,Stoke City
Allan McGregor,Scotland,73,GK,,,36,Rangers
Markus Rosenberg,Sweden,73,ST,,,35,Malmö FF
Steve von Bergen,Switzerland,73,CB,,,35,BSC Young Boys
David Pizarro,Chile,73,CM,CDM,,38,Uni. de Chile
Nicolas Penneteau,France,73,GK,,,37,Sp. Charleroi
Tim Howard,United States,73,GK,,,39,Colorado Rapids
Gareth Barry,England,73,CDM,CM,,37,West Brom
Maarten Stekelenburg,Netherlands,73,GK,,,35,Everton
Yaya Kouassi Ouattara,Ivory Coast,72,RW,CAM,LW,34,Free Agents
Bruno Lamas,Brazil,72,CM,CAM,,24,Santa Clara
Elvis Saric,Bosnia Herzegovina,72,CM,CDM,,28,Suwon Samsung
Artem Shabanov,Ukraine,72,CB,LB,CDM,26,Dynamo Kyiv
Karlo Letica,Croatia,72,GK,,,21,Club Brugge
Douglas,Brazil,72,ST,,,30,Shimizu S-Pulse
Luis Milla,Spain,72,CDM,CM,,23,CD Tenerife
Ricardo Ryller,Brazil,72,CM,,,24,SC Braga
Diego Rossi,Uruguay,72,LW,ST,RW,20,LAFC
Rafael Leão,Portugal,72,ST,LM,,19,LOSC Lille
Dominik Livaković,Croatia,72,GK,,,22,Dinamo Zagreb
Su Boyang,China PR,72,GK,,,29,Guizhou Hengfeng
Nikola Maraš,Serbia,72,CB,,,22,GD Chaves
Jakov Filipović,Croatia,72,CB,,,25,Sport. Lokeren
Roman Yaremchuk,Ukraine,72,LM,ST,,22,KAA Gent
Nicolás De la Cruz,Uruguay,72,CAM,,,21,River Plate
Yevhen Makarenko,Ukraine,72,CDM,LB,,27,RSC Anderlecht
Lukáš Štetina,Slovakia,72,CB,,,27,Sparta Praha
Davit Khocholava,Georgia,72,CB,,,25,Shakhtar Donetsk
Mickaël Cuisance,France,72,CM,,,19,M'gladbach
Hassane Bandé,Burkina Faso,72,LW,ST,,19,Ajax
Jefferson Santos,Brazil,72,CDM,,,25,GD Chaves
Vasilios Barkas,Greece,72,GK,,,24,AEK Athens
Franko Andrijašević,Croatia,72,CAM,CM,,27,KAA Gent
Weston McKennie,United States,72,CM,CDM,,19,Schalke
Marcão,Brazil,72,ST,,,24,Gyeongnam FC
Arne Maier,Germany,72,CM,CDM,,19,Hertha BSC
Lumor Agbenyenu,Ghana,72,LB,LM,,22,Sporting CP
Amir Abedzadeh,Iran,72,GK,,,25,Marítimo
Lukáš Pokorný,Czech Republic,72,CB,,,25,Slavia Praha
Samuel Kalu,Nigeria,72,RM,RW,,20,Girondins de Bx
Kim Min Jae,Korea Republic,72,CB,,,21,Jeonbuk Hyundai
David Guzman,Costa Rica,72,CDM,,,28,Portland Timbers
Michael Ngadeu-Ngadjui,Cameroon,72,CB,CDM,CM,27,Slavia Praha
Moise Kean,Italy,72,ST,,,18,Juventus
Jaromír Zmrhal,Czech Republic,72,LM,RM,,25,Slavia Praha
Yves Bissouma,Mali,72,CM,CDM,RM,21,Brighton
Marlion Simões,Brazil,72,LB,CM,,26,Ceará SC
Enzo Merques,Brazil,72,LB,,,34,Internacional
Fran Beltrán,Spain,72,CDM,CM,,19,RC Celta
Matías Zaracho,Argentina,72,RM,CM,CAM,20,Racing Club
Dario Maresic,Austria,72,CB,,,18,SK Sturm Graz
Ernest Seka,Guinea,72,CB,LB,,31,Nancy
Gelson DalaL,Angola,72,ST,CAM,RW,22,Rio Ave FC
Youssef En-Nesyri,Morocco,72,ST,LW,,21,CD Leganés
Ângelo Neto,Brazil,72,CM,,,26,Moreirense FC
Christian Bernardi,Argentina,72,RM,LM,CM,28,Colón
Michele Castagnetti,Italy,72,CM,CDM,,28,Cremona
João Talocha,Portugal,72,LB,,,28,Boavista FC
Efecan Karaca,Turkey,72,CAM,CDM,CM,28,Alanyaspor
Abbubaker Mobara,South Africa,72,RB,CB,CDM,24,Orlando Pirates
Edouard Mendy,France,72,GK,,,26,Stade de Reims
Jonathan Ikoné,France,72,RM,,,20,LOSC Lille
Luis Reyes,Mexico,72,LB,,,27,América
Diogo Dalot,Portugal,72,RB,LB,,19,Manchester Utd
Oualid El Hajjam,Morocco,72,RB,,,27,Amiens SC
Mikkel Rygaard,Denmark,72,CAM,ST,,27,FC Nordsjælland
Alphonso Davies,Canada,72,LM,RM,,17,Whitecaps FC
Rômulo Calsede,Brazil,72,ST,,,30,Atlético Mineiro
Vágner Corraldo,Brazil,72,LB,,,30,Atl. Paranaense
Odsonne Edouard,France,72,ST,,,20,Celtic
Amr Warda,Egypt,72,RM,LM,CAM,24,PAOK
Riccardo OrsoliniL,Italy,72,RW,RM,,21,Bologna
Petar BrlekL,Croatia,72,CM,CAM,CDM,24,FC Lugano
Vukašin Jovanović,Serbia,72,CB,,,22,Girondins de Bx
Xaver Schlager,Austria,72,CM,CAM,CDM,20,RB Salzburg
Michael Olunga,Kenya,72,ST,,,24,Kashiwa Reysol
Jadon Sancho,England,72,LM,LW,,18,Dortmund
Tyler Adams,United States,72,CDM,RWB,,19,NY Red Bulls
Ritsu Doan,Japan,72,CAM,RM,,20,FC Groningen
Yoshifumi Kashiwa,Japan,72,LM,CAM,,31,S-Hiroshima
Masaaki Higashiguchi,Japan,72,GK,,,32,Gamba Osaka
Santiago Mosquera,Colombia,72,RM,LM,,23,FC Dallas
Agustín Bouzat,Argentina,72,CAM,ST,LM,24,Vélez Sarsfield
Justin Bijlow,Netherlands,72,GK,,,20,Feyenoord
Saman Ghoddos,Iran,72,ST,LW,RW,24,Östersunds FK
Alessandro Murgia,Italy,72,CM,CDM,,22,Lazio
Landry DimataL,Belgium,72,ST,,,20,RSC Anderlecht
Ronaël Pierre-Gabriel,France,72,RB,LB,,20,AS Monaco
Jeison Lucumi,Colombia,72,RM,LM,CAM,23,Atl. Nacional
Diogo GonçalvesL,Portugal,72,LW,LM,,21,Nott'm Forest
Jamiro Monteiro,Cape Verde,72,CM,,,24,FC Metz
Hernán Toledo,Argentina,72,LW,RW,,22,Argentinos Jrs.
Ademola Lookman,England,72,LM,CF,,20,Everton
Nacho Gil,Spain,72,LM,RM,,22,Valencia CF
Léo Gamalho,Brazil,72,ST,,,32,Pohang Steelers
Hugo Rubiães,Brazil,72,CDM,RB,,34,Fluminense
Nilsito Vilela,Brazil,72,ST,CF,CAM,30,Chapecoense
Paulao Junqueiras,Brazil,72,ST,,,30,Grêmio
Adrián Burnabão,Brazil,72,CAM,CF,,34,Botafogo
Jessé Ledeiro,Brazil,72,CAM,CF,,30,Cruzeiro
Jairinhazo,Brazil,72,CAM,CM,,30,Sport
Leordinho Paes,Brazil,72,CAM,LM,,30,Santos
Alessinito,Brazil,72,CDM,RB,RM,34,Ceará SC
Porphirinho,Brazil,72,CDM,CM,,30,Chapecoense
Vieiraldo Junior,Brazil,72,CDM,LB,,26,Sport
Pimentiscinho,Brazil,72,CDM,CM,CAM,30,Vitória
Timo Triano,Brazil,72,CDM,CM,,34,Botafogo
Sandelas Júnior,Brazil,72,CDM,,,26,Santos
Otávinho Vila,Brazil,72,CDM,CM,,34,Cruzeiro
Alexandre Frandeira,Brazil,72,CB,CDM,,30,Sport
Jeff Meirson,Brazil,72,LB,,,26,América
Joshuando Sá,Brazil,72,LB,LWB,,34,Santos
Jonas Damasto,Brazil,72,LB,,,34,Paraná
Josué da Feira,Brazil,72,ST,,,26,Vitória
Walter Silvieiro,Brazil,72,ST,,,26,Sport
Cristian Lodeira,Brazil,72,ST,,,26,Vitória
Thiago Alminxa,Brazil,72,ST,RW,,26,América
Santi da Bruma,Brazil,72,ST,RM,,34,Bahia
Mauro Riboas,Brazil,72,CAM,,,26,Cruzeiro
Carleto Costinha,Brazil,72,CAM,ST,RM,26,Fluminense
Clayton Fildeiras,Brazil,72,CAM,CM,,34,América
Jorge Carvallinho,Brazil,72,CB,LB,,34,Botafogo
Assane Dioussé,Senegal,72,CDM,CM,LB,20,ASSE
Jordi Calavera,Spain,72,RB,,,23,SD Eibar
Rubén Alcaraz,Spain,72,CM,CDM,CAM,27,R. Valladolid CF
Alexander BarbozaL,Argentina,72,CB,,,23,Defensa
Nicolás Benedetti,Colombia,72,CAM,RM,,21,Deportivo Cali
Pascal Stenzel,Germany,72,RWB,RB,,22,SC Freiburg
Allano,Brazil,72,RW,RM,,23,Bursaspor
Maksym Malyshev,Ukraine,72,CDM,,,25,Shakhtar Donetsk
Hicham Faik,Netherlands,72,CM,CDM,,26,Zulte Waregem
Karim Onisiwo,Austria,72,RM,RW,LM,26,1. FSV Mainz 05
Víctor Guzmán,Mexico,72,CM,CAM,CDM,23,Pachuca
Matías Vargas,Argentina,72,CAM,LW,LM,21,Vélez Sarsfield
João Gamboa,Portugal,72,CDM,CM,,21,Marítimo
Geovanni Banguera,Colombia,72,GK,,,22,Atlético Huila
Oussama Idrissi,Netherlands,72,LW,RW,,22,AZ
Lucas Martínez Quarta,Argentina,72,CB,,,22,River Plate
Rico Strieder,Germany,72,CDM,,,26,FC Utrecht
Pape Abou Cissé,Senegal,72,CB,,,22,Olympiacos CFP
Alexis Castro,Argentina,72,LM,CM,CDM,23,San Lorenzo
Vladyslav Kalitvintsev,Ukraine,72,RM,LM,CAM,25,Dynamo Kyiv
Isaac MbenzaL,Belgium,72,ST,RM,,22,Huddersfield
Samuel Adegbenro,Nigeria,72,LW,RW,ST,22,Rosenborg BK
Diego Viera,Paraguay,72,CB,,,27,Godoy Cruz
Konstantin Kerschbaumer,Austria,72,CM,LM,,26,Ingolstadt
Daniel Álvarez,Mexico,72,LM,RM,RW,24,Necaxa
Diego González,Spain,72,CB,LB,,23,Málaga CF
Ivo Rodrigues,Portugal,72,RW,LW,LM,23,Royal Antwerp FC
Franco Soldano,Argentina,72,ST,,,23,Unión
Víctor Malcorra,Argentina,72,LM,CM,,31,U.N.A.M.
Baldomero Perlaza,Colombia,72,CDM,CM,,26,Ind. Santa Fe
Jonathan Galván,Argentina,72,CB,CDM,,26,Colón
Pablo Aránguiz,Chile,72,CAM,CM,,21,FC Dallas
Hwang Hee Chan,Korea Republic,72,ST,,,22,RB Salzburg
Ángel González,Argentina,72,RM,LM,RW,24,Godoy Cruz
Michalis Bakakis,Greece,72,RB,LB,CB,27,AEK Athens
Denis Bouanga,Gabon,72,LM,LW,,23,Nîmes Olympique
Moussa Niakhaté,France,72,CB,LB,,22,1. FSV Mainz 05
Daniele VerdeL,Italy,72,LW,LM,RM,22,R. Valladolid CF
Murilo,Brazil,72,RM,ST,,23,SC Braga
Leonardo Suárez,Argentina,72,RM,LM,,22,Villarreal CF
João Pedro,Brazil,72,RB,RM,,21,FC Porto
Adama Traoré,Mali,72,CM,CAM,,23,AS Monaco
Mimoun Mahi,Morocco,72,ST,LM,,24,FC Groningen
Adrián Marín,Spain,72,LB,LWB,LM,21,D. Alavés
Andy Silbeira,Paraguay,72,GK,,,22,Free Agents
Kevin Diks,Netherlands,72,RB,,,21,Fiorentina
Peter Olayinka,Nigeria,72,LM,ST,RM,22,Slavia Praha
Yan Junling,China PR,72,GK,,,27,Shanghai SIPG
Yann Bodiger,France,72,CDM,CM,,23,Toulouse FC
Pedro Nuno,Portugal,72,CAM,CM,LW,23,Moreirense FC
Mario Šitum,Croatia,72,LM,LW,,26,Dinamo Zagreb
Julian Pollersbeck,Germany,72,GK,,,24,Hamburg
Germán Lanaro,Argentina,72,CB,,,32,Uni. Católica
Taras Romanczuk,Poland,72,CDM,CM,,26,Jagiellonia
Kristoffer Ajer,Norway,72,CB,,,20,Celtic
Yoann Barbet,France,72,LB,CB,,25,Brentford
Jordy de Wijs,Netherlands,72,CB,,,23,Hull City
Agustín Farías,Argentina,72,CDM,CM,,30,CD Palestino
Sergio Herrera,Spain,72,GK,,,25,CA Osasuna
Samuel Bastien,Belgium,72,CM,CAM,,21,Standard Liège
Paul BernardoniL,France,72,GK,,,21,Nîmes Olympique
Yacine Bammou,Morocco,72,ST,CAM,LM,26,SM Caen
João Afonso,Portugal,72,CB,,,28,V. Guimarães
Orkan Çınar,Turkey,72,RM,,,22,Beşiktaş
Eguaras,Spain,72,CDM,CM,,26,R. Zaragoza
Javier Correa,Argentina,72,ST,,,25,Colón
Emil Berggreen,Denmark,72,ST,,,25,1. FSV Mainz 05
Alexandre Mendy,France,72,ST,,,24,Girondins de Bx
Mattia SprocatiL,Italy,72,LW,RW,,24,Parma
Pablo Martinez,France,72,CB,LB,,29,RC Strasbourg
Famara Diedhiou,Senegal,72,ST,,,25,Bristol City
Brian Fernández,Argentina,72,ST,CF,,23,Necaxa
Gustavo Toledo,Argentina,72,RB,,,28,Colón
Cristian PenillaL,Ecuador,72,LM,RM,,27,New England
Ángel Mena,Ecuador,72,RW,CAM,RM,30,Cruz Azul
Ahmet Çalık,Turkey,72,CB,,,24,Galatasaray
Masato Morishige,Japan,72,CB,,,31,F.C. Tokyo
Alexis Blin,France,72,CDM,CM,,21,Toulouse FC
João Teixeira,Portugal,72,LW,CM,,24,GD Chaves
Yamil AsadL,Argentina,72,LM,,,24,D.C. United
Andrés Cubas,Argentina,72,CDM,CM,,22,Talleres
Albian Ajeti,Switzerland,72,ST,CF,,21,FC Basel
Aaron Long,United States,72,CB,,,25,NY Red Bulls
Lucas Boyé,Argentina,72,ST,LW,CAM,22,AEK Athens
Vigaray,Spain,72,RB,RWB,,23,D. Alavés
Carlos Gruezo,Ecuador,72,CDM,CM,,23,FC Dallas
Marcel Sobottka,Germany,72,CDM,CM,,24,Düsseldorf
Jacob Rinne,Sweden,72,GK,,,25,Aalborg BK
Dieter Villalpando,Mexico,72,CM,CAM,,27,Necaxa
Omar GoveaL,Mexico,72,CDM,CM,,22,Royal Antwerp FC
Johan Arango,Colombia,72,CAM,ST,,27,Al Batin
Mislav Oršić,Croatia,72,LM,,,25,Dinamo Zagreb
Jorge Correa,Argentina,72,CAM,LW,CM,25,Marítimo
Anderson Esiti,Nigeria,72,CDM,CM,,24,KAA Gent
Jordan HugillL,England,72,ST,,,26,Middlesbrough
Ezequiel Ponce,Argentina,72,ST,,,21,AEK Athens
Federico Melchiorri,Italy,72,ST,,,31,Perugia
Luismi,Spain,72,CDM,CM,,26,R. Valladolid CF
Federico RicciL,Italy,72,RW,LW,,24,Benevento
Federico MattielloL,Italy,72,LM,LB,,23,Bologna
Álex Mula,Spain,72,LM,RM,ST,22,Málaga CF
Bubacarr Sanneh,Gambia,72,CB,,,23,FC Midtjylland
Joel Pohjanpalo,Finland,72,ST,,,23,Leverkusen
César FallettiL,Uruguay,72,CAM,RW,,25,Palermo
Simone Scuffet,Italy,72,GK,,,22,Udinese
Saîf-Eddine Khaoui,Tunisia,72,CAM,RM,CM,23,OM
José Mauri,Italy,72,CM,CDM,,22,Milan
Thomas Didillon,France,72,GK,,,22,RSC Anderlecht
Andrés Mosquera,Colombia,72,CB,RB,,28,León
Rober Ibáñez,Spain,72,RM,LM,,25,Getafe CF
Simy,Nigeria,72,ST,,,26,Crotone
Stipe PericaL,Croatia,72,ST,,,23,Frosinone
Vyacheslav Karavaev,Russia,72,RB,,,23,Vitesse
Josh Windass,England,72,CF,CAM,LM,24,Wigan Athletic
Pedro Tiba,Portugal,72,CM,CDM,,29,Lech Poznań
Sergio VittorL,Argentina,72,CB,,,29,Uni. Concepción
Helibelton Palacios,Colombia,72,RB,RWB,,25,Atl. Nacional
Firmin Ndombe Mubele,DR Congo,72,RM,RW,LW,24,Toulouse FC
Rafa Soares,Portugal,72,LB,,,23,V. Guimarães
Kevin Molino,Trinidad & Tobago,72,CAM,RM,LM,28,Minnesota United
Alexis Martín Arias,Argentina,72,GK,,,26,Gimnasia
Paul Arriola,United States,72,RM,CM,,23,D.C. United
Wilker Ángel,Venezuela,72,CB,,,25,Free Agents
Aníbal Godoy,Panama,72,CDM,CM,,28,SJ Earthquakes
Flávio,Brazil,72,CB,,,24,CD Feirense
Salih UçanL,Turkey,72,CM,CAM,,24,Empoli
Alan Browne,Republic of Ireland,72,CM,CAM,CDM,23,Preston
Daley Sinkgraven,Netherlands,72,LB,CM,,23,Ajax
Danilo,Brazil,72,LB,LWB,CB,26,Bochum
Lorenzo Pasciuti,Italy,72,RM,LM,,28,Carpi
Gaetano Letizia,Italy,72,LB,RM,,28,Benevento
Rafael Delgado,Argentina,72,LB,,,28,Defensa
Leonardo Gil,Argentina,72,CM,CDM,CAM,27,Rosario Central
Carlos Strandberg,Sweden,72,ST,,,22,Malmö FF
Renaud Emond,Belgium,72,ST,,,26,Standard Liège
Robert Skov,Denmark,72,RM,,,22,FC København
Francesco Vicari,Italy,72,CB,,,24,SPAL
Daniel Guimarães,Brazil,72,GK,,,31,Funchal
Jonathan Schunke,Argentina,72,CB,,,31,Estudiantes
Lucas AlbertengoL,Argentina,72,ST,,,27,Estudiantes
Martín Cauteruccio,Uruguay,72,ST,RM,,31,Cruz Azul
Renzo Saravia,Argentina,72,RB,,,25,Racing Club
Luciano Lollo,Argentina,72,CB,,,31,River Plate
Fabricio Fontanini,Argentina,72,CB,,,28,Newell's
Axel WernerL,Argentina,72,GK,,,22,SD Huesca
Guillermo Sara,Argentina,72,GK,,,30,Lanús
Francisco Cerro,Argentina,72,CM,CDM,CAM,30,Defensa
Fernando Zuqui,Argentina,72,CM,RM,,26,Estudiantes
Leonardo Sigali,Argentina,72,CB,,,31,Racing Club
Nicolás Aguirre,Argentina,72,CM,CDM,,28,Granada CF
Leonel Miranda,Argentina,72,CM,CDM,,24,Defensa
Claudio Riaño,Argentina,72,ST,,,30,Necaxa
Óscar Opazo,Chile,72,RM,RB,,27,CD Viñazur
Martín Rodríguez,Chile,72,LM,LW,CAM,24,U.N.A.M.
Lorenzo Reyes,Chile,72,CM,CDM,,27,Atlas
Patricio RubioL,Chile,72,ST,LW,,29,Everton de Viña
Rodrigo GómezL,Argentina,72,LM,RM,,25,Unión
Sherman CárdenasL,Colombia,72,CAM,CM,RM,29,Atl. Bucaramanga
Farid Díaz,Colombia,72,LB,,,35,Free Agents
Stefan Medina,Colombia,72,RB,CB,,26,Monterrey
Leonardo Castro,Colombia,72,ST,,,29,Kaizer Chiefs
Román Torres,Panama,72,CB,,,32,Seattle Sounders
Carlos Arboleda,Colombia,72,RB,RM,,32,Ind. Santa Fe
Iván Arboleda,Colombia,72,GK,,,22,Banfield
Paulo Díaz,Chile,72,RB,LB,CB,23,Al Ahli
Freddy Hinestroza,Colombia,72,LM,RM,,28,Rionegro Águilas
Danovis Banguero,Colombia,72,LB,,,28,Deportes Tolima
Jefferson Cuero,Colombia,72,LM,RM,,30,América de Cali
Michael RangelL,Colombia,72,ST,,,27,Atl. Bucaramanga
Guillermo Celis,Colombia,72,CDM,CM,,25,V. Guimarães
Claudio Baeza,Chile,72,CM,CB,,24,CD Viñazur
Germán Cano,Argentina,72,ST,CAM,,30,Indep. Medellín
